Submission Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Desired Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,"Does Your Hack Need To Stay At Your Current Table? (I.E. Hardware, Vr/Ar Hacks That Are Difficult To Move.) If So, What Table Number Are You At?"
Untitled,"",Draft,Pending,Manage team,04/08/2022 21:37:29,"","",,"","",,University of Maryland - College Park,0,""
Home Sweet Home,https://bitcamp2022.devpost.com/submissions/320195-home-sweet-home,Submitted (Gallery/Visible),Pending,Submit,04/08/2022 21:50:38,"Inspiration

Determined to make use of the real estate data from CoStar Group and inspired by the myriad of Buzzfeed quizzes we’ve taken to derive some modicum of personality, our hack sought to link our users with their ideal living space in D.C. through the humor of seemingly unrelated questions. 

From this idea, we decided to create a web application with a responsive form that would return different house listings depending on user responses (including user priorities) in order to help users find what they really want - a house to call home.

Given that this was many of our first hackathons as hackers, we tried our best to come up with something fun and interesting while utilizing our pre-existing knowledge and applying it to different technologies.

What it does

Home Sweet Home seeks to provide users with their ideal living space in the D.C. area by matching public real estate data to each user’s personal preferences - all wrapped up in some classic gen z humor. 

Extending the matching capabilities beyond what is the most relevant to our real estate database, we allow the user to select what their priorities are and weigh the corresponding categories of filtration accordingly.

How we built it

CockroachDB (database hosting)
Python Pandas and Numpy (data cleansing)
Python Django (server side scripts)
HTML, CSS, Bootstrap (front end)

Challenges we ran into


Django and HTML incompatibility with radio buttons >:C


Accomplishments that we're proud of


Figuring out CSV migration for CockroachDB
Creating a dynamic website with Django 
Deploying a website 


What we learned


Teamwork makes the dream work: Even though all of us have different skill levels and fortes, it was everyone’s willingness to learn and fill in the gaps that allowed us to get as far as we did.
Debugging is the most important time sink - even if it feels like you could be getting further by ignoring a certain part of the project not working, getting something to work the way you intended is worth the time and effort. 


What's next for Home Sweet Home


Extension of analytics of users -> what are the most popular location preferences in D.C. for users 

","http://44ad-65-113-61-98.ngrok.io/, https://github.com/aphung1/BitCamp2022, https://docs.google.com/presentation/d/14MxvttmGL65ycwiI6fe8g6H7ysunRXRERHK0o4JsBH0/edit?usp=sharing",,"Best Razzle Dazzle Hack - Bitcamp, Best Use of Real Estate Data - CoStar Group, Best First Time Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","python, django, pandas, numpy, bootstrap, cockroachdb, sql, html5, css, javascript",,"University of Maryland, College Park, University of Maryland - College Park",3,""
Untitled,"",Draft,Pending,Manage team,04/08/2022 22:04:21,"","",,"","",,University of Maryland - College Park,0,""
Traveling at Home,"",Draft,Pending,Project overview,04/08/2022 22:06:54,"","",,"","",,umbc,0,""
Monkey Coin,"",Draft,Pending,Project overview,04/08/2022 23:23:17,"","",,"","",,"",0,""
Morse Code Translator,"",Draft,Pending,Project overview,04/08/2022 23:25:06,"","",,"","",,University of Maryland - Baltimore County,0,""
What I Can Do Today,https://bitcamp2022.devpost.com/submissions/320219-what-i-can-do-today,Submitted (Gallery/Visible),Pending,Submit,04/08/2022 23:54:04,"Inspiration

What I Can Do Today is a web app that helps Gen Z navigate and approach challenging issues that impact our world.  Our generation is growing up in a time of uncertainty and many of us have reported feeling anxiety, depression, and hopelessness with glooming existential risks such as climate change, war, and nuclear threats. It can feel like it's impossible to have an impact on the future but we believe that Gen Z can tackle the challenges that lie ahead in our world as creative and resilient digital natives of our time. We created this app to help our friends who share the same fears as us and have struggled with managing their mental health. Making a change starts with our center of control and we want to help our generation make small steps toward their goals, and start small to plan for a better future for our planet. 

What it does

Our app introduces young people to learn about different issues and find out how they can help solve problems in their community.

How we built it

We built it using MongoDB, Mongoose, Html, Ejs, Css, and Bootstrap for the navbar.

Challenges we ran into

It was our first time using MongoDB for our database so we ran into challenges with structuring the data. We also switched from a MERN stack to a MEN stack so we had to change the format of many of our files.

Accomplishments that we're proud of

What we learned

We learned how to use MongoDB and practiced making apps using Ejs templates and Mongoose.

What's next for What I Can Do Today
",https://what-i-can-do-today.herokuapp.com/,,"Best Educational Hack - Bloomberg, Best Social Good Hack - Bitcamp","mongodb, mongoose, html, ejs, css, bootstrap",,"University of Edinburgh, The University of Glasgow",1,No
WilderTrace,https://bitcamp2022.devpost.com/submissions/320221-wildertrace,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 00:01:54,"Inspiration

Thinking about the theme of this year’s Bitcamp “Adventure Awaits” was a calling card to the wild. We also knew that we wanted to work with databases and data visualization programs. After stumbling upon movebank.org, we had an awakening to visualize animal migration paths because of the importance of animals in our ecosystems. We realized the exponential growth of urbanization and the drastic effects of climate change would greatly impact these animals and their migration patterns and decided that this is an important path to take. Not only would visualizing these paths be cool to see, but we could actually visualize the impact of construction projects or climate disasters on our ecosystems to better understand how to protect animals. 
And who doesn’t love animals?!? Animal migration is a technique developed by Albert Einstein.
Zebras are miraculous creatures who spend their time wandering the savannahs of central Africa. They spend their time avoiding lions and hiding under the stomachs of elephants. Zebras generally eat the burnt grass of the lands, and chomp for up to 27 hours a day. Even though Zebras supposedly migrate, they still are too dumb to leave the savannah and reach the civilized world of the African jungles.*

What it does

Our data visualization tracks the different migratory patterns of animals on different points on the world map. It maps the paths of animals over the course of many days with observations as close as a few hours apart to visually trace an animal’s path. 

How we built it

This project consisted of 3 parts. The parser, the api, and the front end. The parser was used to take raw csv data to process it until it was ready to be pushed onto the MongoDB database. The API served as the middle man between the front end and the database (build with node.js). The front end was built purely on react and powered the map visualizations.

Challenges we ran into

We were very eager to learn and try new technologies like Spring Boot, MongoDB, and deck.gl, which set us back since we had to spend time learning and debugging the technologies. Since we all had previous experience with Java, we wanted to use Java back-end, leading us to use Spring Boot to provide zebra data to connect to the front-end. Even though we enjoyed working on java, we eventually decided that Node.JS was better suited for the time-constraint. Another difficulty we had was producing the json data on the localHost, as well as creating the controller due to our limited knowledge of Spring Boot and Mongo (since we didn’t know how to obtain the data from the database)

Accomplishments that we're proud of

Learning a lot of software tools in such a short time

What we learned

We learned basics of Spring boot and MongoDB. Through tutorials we figured out how to use databases through MongoDB to send data points from them to our front-end to be able to plot them on our map. Furthermore, we also used tutorials to figure out how to work with maps and add points onto them. As this is the first hackathon most of our teammates, we also learned how to work as a team and communicate together to efficiently complete our project to the best of our ability.

What's next for WilderTrace?

COMING SOON: TURTLES!!!
*might be a joke.
Keep on modifying by


Continue improving to make the interface and code cleaner 
Working on incorporating urbanization variables to get a better understanding of how human construction impacts animal migration
Identify trends and potentially identify climate variables into our project and see how they correlate with animal migration patterns. 
Work on adding a pop-up in the corner that will state more information about the individual animal itself
Have a slider for the years and be able to navigate from one point to the next
Making it easier to navigate around the map
Be able to zoom into individual animals by clicking on its marker
Be able to see all the individuals of a species by choosing it with the dropdown 

",https://github.com/Tim-Vuong/Bitcamp,,"Best Educational Hack - Bloomberg, Best First Time Hack - Bitcamp","mongodb, deck.gl, react, javascript, html, java, css3, csv, node.js, springboot",,University of Maryland - College Park,3,""
SearchGenius,"",Draft,Pending,Project overview,04/09/2022 01:38:00,"","",,"","",,University of Maryland - College Park,0,""
MusePay,https://bitcamp2022.devpost.com/submissions/320300-musepay,Submitted (Gallery/Visible),Pending,Submit,04/09/2022 09:08:09,"

MusePay: Simple and secure spending and lending within social groups and families.

A social hub for friends and family to monitor finance, a simple and secure platform for lending and spending, and a non-destructive companion to one’s buying experience. Spending other people's money has never been easier and more secure.

How it Works

Sending Muse Hashes


Create an account on our platform
Connect your bank/debit card as a funding source
Begin sharing Muse Hashes! Set merchant locks (or not) and spending limits, and have a unique hash generated (keep it a secret between you and your friend!) that acts as a key to a MusePay Virtual Credit Card.



Using Muse Hashes


Install our Google Chrome Extension
Copy your hash to your clipboard
When you are ready to pay, simply right-click, and press Pay With Muse Hash.
 


Inspiration

Driven by the want to create a finance-related project from our collective interest in fintech, the idea came about while musing over (get it) the technologies we know how to use and ones that we want to learn and would be cool to use. 

Tech Stack & Development Process


We began brainstorming ideas and creating diagrams using Figma. Using Figma's FigJam application, we were able to collaborate and quickly see each other's ideas and bounce them off of each other.





Once we came up with an idea, FigJam was again our software of choice to create a general flowchart and list of technologies we needed to use and connect together.

We then used Figma to design our UI and the components that we wanted to be made.

The frontend was built entirely off of React, CSS, and Bootstrap, written with Typescript. 
Our user login/authentication system is powered by Google's Firebase platform.
We stored our users' data using SQL on CockroachDB Serverless. Their platform was very easy for us to learn to use (as complete SQL novices) and it was quick for us to deploy and utilize, as well as debug. The performance of the database also fit our needs well.

Our application's server-side backend was driven by NodeJS.
We chose Express as our API framework of choice because of our general familiarity and its simplicity, as well as decent performance.
Deciding on what financial platforms we would build our project on was a big challenge. We considered many different options, each with its own benefits. Some platforms, such as Plaid, provided a simple and convenient way to get a user's banking data, but it didn't have options for things such as virtual credit cards. We decided instead to opt for Synapse. Synapse had a lot of benefits that was perfect for our use case and our possible future use cases: Virtual Cards, Credit/Loans, Banking solutions, and Crypto solutions. We currently only use Synapse for its VCCs and banking solutions, but in the future we plan on using it for credit and loans, as well as cryptocurrency.
The final part of our project is the Chrome extension, which builds upon the Chrome Web API to provide features that are less intrusive but still powerful.



Features


Create merchant locked and spend restricted codes that are tied to individual virtual credit cards
Link your bank account/debit card as a funding source
Create a private group with your friends and family to more easily share hashes and share spending
See all your spending in easy to understand visualizations
Spend hashes in 2 clicks with the Chrome Extension


Challenges we ran into

Bitcamp was an incredible experience for our team and for some of us our first-ever in-person hackathon. We had to deal with fatigue from working for so long, surviving on only a couple hours (or less) of sleep. In terms of the development process, it was very rough. When creating our authentication/login system, we used the Auth0 service first, but we ran into issues with cross-domain sessions and managing a react app and API on a single Heroku instance. This led to us creating an authorization system on Firebase instead.

When working with Syanpse, we ran into issues with their sandbox environment, documentation that was not as detailed as it needed to be, and an API wrapper library that only covered half of the API. We had to figure out RSA PKCS1 encryption for credit card information and to pull the API requests from a Postman collection that they had, but even in that collection some of the requests were not usable directly and required a lot of debugging. 

Another challenge we faced was CORS, or cross-origin resource sharing. Most of the time, you can only access APIs and other web resources from the same domain as the request origin, but because we had to deploy our API separately from our main web application, we had to figure out how to allow CORS to these other domains. 

The overall most challenging part was figuring out how to structure and connect all parts of our multi-faceted application together and keep it all organized. We had to create data structures for our databases and create class structures that would be most efficient and organized. Classes like our Database manager and Synapse manager were very complex with a ton of challenges faced in during their creation, but when we were able to get it all integrated properly, everything fell together perfectly.

What we learned

Nobody in our team has used SQL before, let alone a SQL database provider like CockroachDB before. We were able to fully learn how to use and deploy it very quickly, and now feel confident in utilizing this technology in all of our future projects.

What's next for MusePay

Credit and Cryptocurrency are two big services that Synapse offers that we want to take advantage of. With their Credit Hub we would be able to create Pay in Installments Muses, Subscription Muses, Muses that can build credit, and Cryptocurrency based Muses.

View our FigJam Document Here

View our Figma Document Here
",https://github.com/matthewnanas/bitcamp22,,"Best Moonshot Hack - Bitcamp, Best UI/UX - Bitcamp , Best Use of CockroachDB Serverless - Cockroach Labs","react, javascript, node.js, typescript, firebase, cockroach, sql, bootstrap, chrome, synapse, figma, figjam, express.js",,"Stanford University, poolesville high school",3,no
